Stock,Model,Window,Seed,MAE,MSE,RMSE,MAPE,R2,Epochs Run,Test Points
Reliance,BiLSTM,5,18,40.41667344835069,2556.303293083642,50.55989807232252,3.0751646821226357,0.8807065935182141,30,612
Reliance,LSTM,10,16,91.44271564012304,11483.72067126142,107.1621233051185,6.93135505196402,0.46274332104403804,11,607
Reliance,LSTM,10,17,67.39748687995521,6690.5574726123095,81.79582796580954,5.099965810437328,0.6869876243946602,19,607
Reliance,LSTM,10,18,81.14438534882748,9864.236224834269,99.31886137503928,6.091224577770896,0.5385096044826192,14,607
Reliance,BiLSTM,10,16,55.111382925922825,5223.917955895643,72.2766764308905,4.10036708185749,0.755603180148179,11,607
Reliance,BiLSTM,10,17,75.51974452111435,8536.84943564276,92.39507257231178,5.6725486535603356,0.6006103328498402,12,607
Reliance,BiLSTM,10,18,69.25830007738493,6867.833483574669,82.87239277090211,5.257160179212841,0.6786939081301617,12,607
Reliance,LSTM,15,16,60.29568694358648,5251.430720274779,72.46675596626896,4.590054513554108,0.754066609767865,25,602
Reliance,LSTM,15,17,87.77940728577269,11165.078582084301,105.6649354425786,6.604520516742643,0.4771204697990352,12,602
Reliance,LSTM,15,18,92.13861367868823,12556.85004521431,112.05735158932818,6.9034899446331535,0.41194145619529243,14,602
Reliance,BiLSTM,15,16,45.79973138448012,3443.967493991884,58.68532605338309,3.4480345836088313,0.8387131723214706,25,602
Reliance,BiLSTM,15,17,68.40111868722099,7399.880225864626,86.02255649458824,5.117890836836485,0.6534510825340566,13,602
Reliance,BiLSTM,15,18,58.139582130204005,5100.873788882901,71.42040176926268,4.387549001125808,0.7611174457271394,22,602
Reliance,LSTM,20,16,67.19030966191636,5971.468009555647,77.27527424445447,5.142041215806622,0.7202851797565467,43,597
Reliance,LSTM,20,17,59.32372177865238,5573.911870147958,74.65863560331087,4.458898672917421,0.7389074588834139,17,597
Reliance,LSTM,20,18,125.42698549305774,21780.428693915437,147.58193891501574,9.43547700385786,-0.020236345098875175,11,597
Reliance,BiLSTM,20,16,60.66235504917164,5108.296034753654,71.47234454496126,4.638149930615292,0.7607177824908437,22,597
Reliance,BiLSTM,20,17,52.68588435749712,4644.523389604043,68.1507401985044,3.9235731504273326,0.7824417675920394,30,597
Reliance,BiLSTM,20,18,66.06805971998665,6613.280850546225,81.3220809531226,4.97316403047401,0.6902214562030853,14,597
Reliance,LSTM,30,16,74.01769312480036,7049.4925661959405,83.96125634002829,5.701536970252482,0.6726698411792318,26,587
Reliance,LSTM,30,17,62.74557562702965,6447.78604520877,80.2981073575758,4.67997809948867,0.700608971439852,12,587
Reliance,LSTM,30,18,108.91548450476469,16152.713475448525,127.0933258493479,8.221925526786364,0.24997860233817426,13,587
Reliance,BiLSTM,30,16,125.44789864379258,20417.188988287187,142.88872939559366,9.530156598723604,0.05196556327229873,11,587
Reliance,BiLSTM,30,17,67.54717081775048,6558.1071160919455,80.98214072307515,5.094514071538393,0.6954864164028227,29,587
Reliance,BiLSTM,30,18,121.52737317580787,20025.04510223847,141.5098763416832,9.173588317396902,0.0701740398818691,11,587
Infosys,LSTM,1,16,25.443428733132098,1128.8462753536828,33.59830762633265,1.80645430677953,0.9706275736773057,16,616
Infosys,LSTM,1,17,23.746501972148938,1023.2515386468302,31.988303153603354,1.6809949145209786,0.9733751343431851,49,616
Infosys,LSTM,1,18,23.90373309246905,1032.6573095587985,32.134985756318585,1.6954706507785264,0.9731303974652312,26,616
Infosys,BiLSTM,1,16,25.268438364004158,1141.5450740915464,33.78675885745104,1.7692626296556946,0.9702971526638707,22,616
Infosys,BiLSTM,1,17,23.129981895545853,995.2922942348595,31.548253426059254,1.6384171821995246,0.9741026300744099,25,616
Infosys,BiLSTM,1,18,24.279114958527796,1076.9260232945924,32.8165510572728,1.6916940578668074,0.9719785315637403,19,616
Infosys,LSTM,2,16,26.699036537728652,1306.130550555291,36.14042820105056,1.8699265343635303,0.9660529212470991,40,615
