Stock,Model,Seed,MAE,MSE,RMSE,MAPE,R2
Sun Pharma,LSTM,16,77.34728825556768,13170.491839056072,114.76276329479032,5.067431580375645,0.8795844815588316
Sun Pharma,LSTM,42,137.54168126490208,43618.12137308808,208.8495184890022,8.827342597754404,0.6012070951674771
Sun Pharma,LSTM,101,126.10495005025493,36013.75933743696,189.7729151840087,8.134160380132025,0.6707324559609047
Sun Pharma,LSTM,2024,128.05887663209595,38138.5299536772,195.2908854854143,8.190832922892481,0.6513060474068664
Sun Pharma,LSTM,7,115.22475245091822,29473.26946974224,171.67780715556174,7.470047183733622,0.73053101837618
Sun Pharma,BiLSTM,16,69.33230580912007,10944.404725085442,104.61550900839435,4.511268053243062,0.899937209247336
Sun Pharma,BiLSTM,42,84.6678058574726,15553.473372150189,124.71356530927255,5.546205508652718,0.8577972954575247
Sun Pharma,BiLSTM,101,88.05040384267832,16899.601492003254,129.99846726789994,5.753556982785792,0.8454898799546607
Sun Pharma,BiLSTM,2024,98.04107596657492,21838.321740433905,147.77794740905662,6.336702982658436,0.8003360188522879
Sun Pharma,BiLSTM,7,96.58337204177658,21112.67653020141,145.30201832803772,6.248053639772806,0.8069704669247115
